,name,pt_cut,met_cut,eff
123,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,90,0.0015211578393693975
124,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,90,0.0016527938189493808
125,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,90,0.0018106733741571096
126,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,90,0.0019934528284213534
127,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,90,0.0021973890781820443
128,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,90,0.0024267515737337766
129,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,90,0.002677808068913229
130,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,95,0.001392776357034024
131,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,95,0.0014356682257216395
132,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,95,0.0014993722507745252
133,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,95,0.0015871923141646397
134,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,95,0.001701848453470848
135,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,95,0.0018455763979685319
136,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,95,0.0020169766249419816
137,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,95,0.0022126370901956183
138,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,95,0.0024364182889885636
139,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,95,0.0026837217724203937
140,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,100,0.0015326944028954998
141,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,100,0.001564216751442189
142,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,100,0.0016118257519264231
143,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,100,0.0016801483388798472
144,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,100,0.0017746722201790923
145,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,100,0.0018999308699852125
146,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,100,0.0020554119243608414
147,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,100,0.002239055604113388
148,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,100,0.0024537700846994134
149,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,100,0.0026942803349996754
150,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,105,0.0016972998617620836
151,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,105,0.001719786663572432
152,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,105,0.0017541968631578503
153,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,105,0.0018052700836296803
154,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,105,0.0018790694304834869
155,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,105,0.0019821652887035686
156,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,105,0.002116326567037831
157,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,105,0.00228257760763866
158,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,105,0.0024833421596699248
159,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,105,0.002713979282201528
160,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,110,0.0018871613909516296
161,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,110,0.0019029408460520855
162,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,110,0.0019269388371040198
163,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,110,0.0019639810605970977
164,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,110,0.002019037332730055
165,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,110,0.0020995489764066345
166,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,110,0.0022090977565680735
167,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,110,0.0023530212225504484
168,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,110,0.0025337631572520574
169,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,110,0.002748617412325728
170,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,115,0.0020995011787560834
171,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,115,0.002110080081352485
172,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,115,0.002126509373294629
173,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,115,0.002152796690399305
174,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,115,0.002192710163343698
175,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,115,0.0022529430765430626
176,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,115,0.0023369946249123625
177,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,115,0.0024545973425287083
178,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,115,0.0026104158738445766
179,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,115,0.0028039877435330923
180,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,120,0.0023377647589004056
181,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,120,0.0023448911038221726
182,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,120,0.0023558730780475204
183,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,120,0.002373544416737206
184,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,120,0.00240130770009692
185,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,120,0.002443922289160174
186,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,120,0.002506174852498022
187,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,120,0.002596955617089845
188,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,120,0.0027234813310276712
189,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,120,0.0028891874769387143
190,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,125,0.0026018400965502108
191,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,125,0.002606440105262497
192,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,125,0.002613490016783014
193,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,125,0.0026253443787581173
194,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,125,0.0026441204954380957
195,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,125,0.002673719272361796
196,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,125,0.0027182990652981284
197,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,125,0.002784795686586344
198,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,125,0.002881744323310881
199,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,125,0.003016602215567121
200,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,80,80,0.007130894595767286
201,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,85,80,0.00761117026341531
202,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90,80,0.008234798286075535
203,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,95,80,0.008973747260289702
204,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,100,80,0.009826355419582862
205,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,105,80,0.01080697398582833
206,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,110,80,0.011909680128409176
207,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,115,80,0.013143880079379019
208,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,120,80,0.014509973802009201
209,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,125,80,0.016017014377513333
210,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,80,85,0.0075644494534755176
211,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,85,85,0.007990112888458752
212,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90,85,0.008553598007646435
213,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,95,85,0.00923407338948518
214,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,100,85,0.010034809404245606
215,sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,105,85,0.010970466767315059
