,name,pt_cut,met_cut,eff,m1,m2,delta,ctau,mchi,dmchi
148,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,100,0.0029060915581440036,90.0,99.0,0.1,100.0,94.5,9.0
149,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,100,0.0031909368304875673,90.0,99.0,0.1,100.0,94.5,9.0
150,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,105,0.0020101756194122024,90.0,99.0,0.1,100.0,94.5,9.0
151,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,105,0.0020368075786646998,90.0,99.0,0.1,100.0,94.5,9.0
152,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,105,0.0020775608632339357,90.0,99.0,0.1,100.0,94.5,9.0
153,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,105,0.002138048785792742,90.0,99.0,0.1,100.0,94.5,9.0
154,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,105,0.0022254521086328524,90.0,99.0,0.1,100.0,94.5,9.0
155,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,105,0.0023475523840910937,90.0,99.0,0.1,100.0,94.5,9.0
156,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,105,0.002506444596865287,90.0,99.0,0.1,100.0,94.5,9.0
157,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,105,0.0027033419136250634,90.0,99.0,0.1,100.0,94.5,9.0
158,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,105,0.0029411148710307665,90.0,99.0,0.1,100.0,94.5,9.0
159,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,105,0.0032142670294025323,90.0,99.0,0.1,100.0,94.5,9.0
160,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,110,0.002235035719645123,90.0,99.0,0.1,100.0,94.5,9.0
161,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,110,0.002253723917673735,90.0,99.0,0.1,100.0,94.5,9.0
162,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,110,0.00228214563478705,90.0,99.0,0.1,100.0,94.5,9.0
163,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,110,0.0023260161235746347,90.0,99.0,0.1,100.0,94.5,9.0
164,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,110,0.002391221322980294,90.0,99.0,0.1,100.0,94.5,9.0
165,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,110,0.0024865742696478575,90.0,99.0,0.1,100.0,94.5,9.0
